,Algorithm,Dataset,bootstrap,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,max_samples,learning_rate,loss,estimator__max_depth,estimator__min_samples_split,subsample,algorithm
0,Random-Forest,dataset,True,20,sqrt,1,2,100,,,,,,,
1,Random-Forest,dataset_l,True,20,sqrt,1,2,100,,,,,,,
2,Random-Forest,dataset_outliers,True,20,sqrt,1,2,100,,,,,,,
3,Random-Forest,dataset_l_outliers,True,20,sqrt,1,2,100,,,,,,,
4,Random-Forest,dataset_isolation,True,20,sqrt,1,2,100,,,,,,,
5,Random-Forest,dataset_l_isolation,True,20,sqrt,1,2,100,,,,,,,
6,Random-Forest,dataset_dc_outliers,True,20,sqrt,1,2,100,,,,,,,
7,Random-Forest,dataset_l_dc_outliers,True,20,sqrt,1,2,100,,,,,,,
8,Random-Forest,dataset_sample,True,20,sqrt,1,2,100,,,,,,,
9,Random-Forest,dataset_outliers_representative,True,20,sqrt,1,2,100,,,,,,,
10,Random-Forest,dataset_outliers_l_representative,True,20,sqrt,1,2,100,,,,,,,
11,Random-Forest,dataset_outliers_reduce,True,20,sqrt,1,2,100,,,,,,,
12,Random-Forest,dataset_l_outliers_reduce,True,20,sqrt,1,2,100,,,,,,,
13,Random-Forest,dataset_m_outliers,True,20,sqrt,1,2,100,,,,,,,
14,Random-Forest,dataset_l_m_outliers,False,30,log2,4,5,10,,,,,,,
15,Bagging,dataset,True,,,,,100,0.8,,,,,,
16,Bagging,dataset_l,True,,,,,100,0.8,,,,,,
17,Bagging,dataset_outliers,True,,,,,100,0.8,,,,,,
18,Bagging,dataset_l_outliers,True,,,,,100,0.8,,,,,,
19,Bagging,dataset_isolation,True,,,,,100,0.8,,,,,,
20,Bagging,dataset_l_isolation,True,,,,,100,0.8,,,,,,
21,Bagging,dataset_dc_outliers,True,,,,,100,0.8,,,,,,
22,Bagging,dataset_l_dc_outliers,True,,,,,100,0.8,,,,,,
23,Bagging,dataset_sample,True,,,,,100,0.8,,,,,,
24,Bagging,dataset_outliers_representative,False,,,,,20,0.2,,,,,,
25,Bagging,dataset_outliers_l_representative,False,,,,,10,0.6,,,,,,
26,Bagging,dataset_outliers_reduce,True,,,,,100,0.8,,,,,,
27,Bagging,dataset_l_outliers_reduce,True,,,,,100,0.8,,,,,,
28,Bagging,dataset_m_outliers,True,,,,,10,0.6,,,,,,
29,Bagging,dataset_l_m_outliers,False,,,,,20,0.8,,,,,,
30,Ada-Boost,dataset,,,,,,100,,0.1,,5,2,,SAMME
31,Ada-Boost,dataset_l,,,,,,100,,0.1,,5,2,,SAMME
32,Ada-Boost,dataset_outliers,,,,,,100,,0.1,,5,2,,SAMME
33,Ada-Boost,dataset_l_outliers,,,,,,100,,0.1,,5,2,,SAMME
34,Ada-Boost,dataset_isolation,,,,,,100,,0.1,,5,2,,SAMME
35,Ada-Boost,dataset_l_isolation,,,,,,100,,0.1,,5,2,,SAMME
36,Ada-Boost,dataset_dc_outliers,,,,,,100,,0.1,,5,2,,SAMME
37,Ada-Boost,dataset_l_dc_outliers,,,,,,100,,0.1,,5,2,,SAMME
38,Ada-Boost,dataset_sample,,,,,,100,,0.1,,5,2,,SAMME
39,Ada-Boost,dataset_outliers_representative,,,,,,50,,0.1,,5,2,,SAMME
40,Ada-Boost,dataset_outliers_l_representative,,,,,,50,,0.1,,5,2,,SAMME
41,Ada-Boost,dataset_outliers_reduce,,,,,,100,,0.1,,5,2,,SAMME
42,Ada-Boost,dataset_l_outliers_reduce,,,,,,100,,0.1,,5,2,,SAMME
43,Ada-Boost,dataset_m_outliers,,,,,,100,,0.1,,3,7,,SAMME
44,Ada-Boost,dataset_l_m_outliers,,,,,,50,,0.1,,5,2,,SAMME
45,Gradient-Boosting-Regressor,dataset,,7,,2,2,100,,0.1,,,,0.6,
46,Gradient-Boosting-Regressor,dataset_l,,7,,2,2,100,,0.1,,,,0.6,
47,Gradient-Boosting-Regressor,dataset_outliers,,7,,2,2,100,,0.1,,,,0.6,
48,Gradient-Boosting-Regressor,dataset_l_outliers,,7,,2,2,100,,0.1,,,,0.6,
49,Gradient-Boosting-Regressor,dataset_isolation,,7,,2,2,100,,0.1,,,,0.6,
50,Gradient-Boosting-Regressor,dataset_l_isolation,,7,,2,2,100,,0.1,,,,0.6,
51,Gradient-Boosting-Regressor,dataset_dc_outliers,,7,,2,2,100,,0.1,,,,0.6,
52,Gradient-Boosting-Regressor,dataset_l_dc_outliers,,7,,2,2,100,,0.1,,,,0.6,
53,Gradient-Boosting-Regressor,dataset_sample,,7,,2,2,100,,0.1,,,,0.6,
54,Gradient-Boosting-Regressor,dataset_outliers_representative,,7,,2,2,100,,0.1,,,,0.6,
55,Gradient-Boosting-Regressor,dataset_outliers_l_representative,,7,,2,2,100,,0.1,,,,0.6,
56,Gradient-Boosting-Regressor,dataset_outliers_reduce,,7,,2,2,100,,0.1,,,,0.6,
57,Gradient-Boosting-Regressor,dataset_l_outliers_reduce,,7,,2,2,100,,0.1,,,,0.6,
58,Gradient-Boosting-Regressor,dataset_m_outliers,,7,,2,2,100,,0.1,,,,0.6,
59,Gradient-Boosting-Regressor,dataset_l_m_outliers,,5,,1,7,100,,0.01,,,,0.6,
